Ticket,Title,Phase,Description,Est Hours,Assigned To,Frequency
AFFG-001,Network Discovery & Topology Assessment,Phase 1: Discovery & Assessment,"Perform comprehensive assessment of AFFG's current network environment at 1 Park Plaza, Ste 210, Irvine, CA 92618. Discover and document the existing network topology, internet connectivity (ISP details, circuit info), switch/router infrastructure, IP addressing scheme, VLAN configuration, and current security posture. Identify all network segments, traffic flows, and existing routing. Produce a formal network topology assessment document and validate virtual infrastructure resource availability for ESXi deployment. This assessment governs all subsequent firewall design and configuration decisions.",3,IRV-TS1,One-Time
AFFG-002,Documentation & Compliance Control Mapping,Phase 1: Discovery & Assessment,"Using the network discovery output from AFFG-001, create the firewall policy design document covering planned access control rules, CloudBrink SD-WAN integration, IPS policy, and web filtering policy. Produce the compliance control mapping worksheet that maps each planned Sophos SF V-2C4 firewall capability to AFFG's applicable regulatory frameworks: SEC Reg S-P, SEC Reg S-ID, FINRA Rule 4370, FINRA Rule 3110, FTC Safeguards Rule, HIPAA Security Rule, SOC 2 TSC, PCI-DSS 4.0, and GDPR. Reference BCP Compliance Review findings (March 6, 2026) to ensure all 3 critical, 7 high, and 9 medium findings are mapped to specific firewall controls.",2,CHD-TS1,One-Time
AFFG-003,ESXi Installation & Hypervisor Configuration,Phase 2: ESXi & Firewall Deployment,"Install VMware ESXi hypervisor on the Technijian-supplied Edge Appliance 16GB. Configure ESXi storage, networking (virtual switches for WAN and LAN), resource pools, and management access. Validate hypervisor is operational and accessible via management console. Ensure sufficient resources are allocated for the Sophos VM (2 vCPU, 4 GB RAM minimum).",2,IRV-TS1,One-Time
AFFG-004,Sophos VM Deployment & Network Configuration,Phase 2: ESXi & Firewall Deployment,"Deploy the Sophos SF V-2C4 virtual firewall as a VM on the ESXi hypervisor. Configure virtual machine settings (2 vCPU, 4 GB RAM). Configure network interfaces connecting to ESXi virtual switches (WAN and LAN). Set up base network configuration including DNS, NTP, DHCP (if applicable), routing, and NAT rules. Verify the firewall VM boots and is reachable for management.",1,IRV-TS1,One-Time
AFFG-005,License Activation & Sophos Central Enrollment,Phase 2: ESXi & Firewall Deployment,"Activate the Xstream Protection Bundle license (code SO-2C4G) on the Sophos SF V-2C4 virtual firewall. Enroll the firewall into Sophos Central cloud management platform. Verify Sophos Central connectivity, telemetry reporting, and that the firewall appears with correct license status in the management console. Confirm all Xstream Protection features (IPS, ATP, TLS inspection, app control, web filtering) show as licensed and active.",1,CHD-TS1,One-Time
AFFG-006,Phase 2 Configuration Documentation,Phase 2: ESXi & Firewall Deployment,"Document all Phase 2 configuration details including ESXi hypervisor settings, VM resource allocation, network interface mappings (virtual switches, port groups), IP addressing, DNS/NTP configuration, NAT rules, Sophos Central enrollment details, and license activation confirmation. Produce a configuration record that can be used for disaster recovery, compliance evidence, and future change management.",1,CHD-TS1,One-Time
AFFG-007,"Edge Appliance Delivery, Rack Mounting & Cabling",Phase 3: Edge Appliance Physical Installation & Network Integration,"Deliver the Technijian-supplied Edge Appliance 16GB to AFFG's primary location (1 Park Plaza, Ste 210, Irvine, CA 92618). Physically rack-mount (or position in suitable mounting location) the appliance with adequate ventilation and power connections. Connect physical network cabling to integrate with AFFG's existing switch/router infrastructure. Connect WAN uplink and LAN downlink cables. Verify physical layer connectivity (link lights, speed/duplex negotiation). On-site work required.",2,IRV-TS1,One-Time
AFFG-008,WAN/LAN Integration & Traffic Path Validation,Phase 3: Edge Appliance Physical Installation & Network Integration,"Configure and validate WAN and LAN connectivity through the ESXi virtual switches to the Sophos firewall VM. Ensure all client traffic passes through the Sophos security inspection engine. Validate end-to-end traffic routing from client workstations through the firewall to the internet and back. Test routing tables, NAT translation, and verify no traffic is bypassing the firewall path. Confirm the firewall is inline and actively inspecting all traffic flows. On-site work required.",2,IRV-TS1,One-Time
AFFG-009,Access Control Rules & Network Segmentation,Phase 4: Security Policy & Compliance Configuration,"Configure firewall access control rules (ingress and egress) per the compliance policy design document from Phase 1. Implement network segmentation rules to isolate sensitive data zones (customer NPI/PII, financial data, trading systems). Define zone-based policies, inter-VLAN routing rules, and deny-by-default posture with explicit allow rules per the least-privilege principle. Configure DoS/DDoS protection thresholds appropriate for AFFG's 15-user environment. Addresses SEC Reg S-P technical safeguard requirements and FINRA Rule 4370 mission-critical system protection.",3,IRV-TS1,One-Time
AFFG-010,IPS Tuning & Threat Protection Configuration,Phase 4: Security Policy & Compliance Configuration,"Enable and tune the Intrusion Prevention System (IPS) signatures for AFFG's specific environment. Configure Advanced Threat Protection (ATP) and zero-day sandboxing capabilities. Select and enable IPS signature categories relevant to financial services threats. Tune detection thresholds to minimize false positives while maintaining detection coverage. Enable continuous monitoring of all traffic including inter-VLAN and SSL/TLS decrypted traffic. Configure real-time alerting for critical IPS events. Addresses HIPAA 164.308(a)(5)(ii)(B), SOC 2 CC6.8/CC7.1, and PCI-DSS Req 11.",2,IRV-TS1,One-Time
AFFG-011,CloudBrink SD-WAN Setup & Remote Access Config,Phase 4: Security Policy & Compliance Configuration,"Configure CloudBrink SD-WAN integration on the Sophos firewall for secure remote access. Set up MFA-enabled secure access tunnels for AFFG remote users. Configure Xstream SD-WAN SLA policies if applicable. Ensure encrypted remote access meets FTC Safeguards Rule requirements for MFA and encryption. Validate CloudBrink SD-WAN client connectivity requirements. Addresses HIPAA 164.312(e)(1) transmission security, SOC 2 CC6.1/CC6.6, and PCI-DSS Req 4 & Req 8.",1,IRV-TS1,One-Time
AFFG-012,"TLS Inspection, App Control & Web Filtering",Phase 4: Security Policy & Compliance Configuration,"Enable TLS 1.3 encrypted traffic inspection with pre-packaged and custom policy exceptions (e.g., banking sites, healthcare portals). Configure application control policies using the 3,300+ application signature library - block unauthorized applications, allow business-critical apps, and set bandwidth policies. Configure web filtering categories per AFFG's acceptable use policy - block malicious, phishing, and inappropriate content categories. Implement content control policies aligned with SEC Reg S-P data protection requirements. Addresses HIPAA 164.312(a)(2)(iv), SOC 2 CC6.7, PCI-DSS Req 4 & Req 7, and GDPR Art 32(1)(a).",2,CHD-TS1,One-Time
AFFG-013,Logging Reporting & Audit Trail Verification,Phase 4: Security Policy & Compliance Configuration,"Configure 30-day log retention in Sophos Central. Enable audit logging for all firewall rule changes, admin access, policy modifications, and security events. Set up centralized reporting dashboards for compliance monitoring. Configure real-time alerting for critical security events (IPS triggers, ATP detections, unauthorized access attempts). Verify audit trail integrity and completeness. Set up recurring 30-day log export cycle per Section 5.4.1 for FINRA record retention compliance (24-month minimum). Addresses HIPAA 164.312(b) audit controls, SOC 2 CC7.1-CC7.3, and PCI-DSS Req 10.",2,CHD-TS1,One-Time
AFFG-014,End-to-End Security Feature Testing,Phase 5: Testing Validation & Go-Live,"Perform comprehensive functional testing of all deployed security features: IPS detection (test with known signatures), TLS inspection (verify decryption/re-encryption), application control (test block/allow rules), web filtering (test category blocking), ATP (test malicious file detection), DoS protection (verify threshold triggers), and access control rules (test ingress/egress policies). Document pass/fail results for each test case. Identify and remediate any configuration deficiencies before production cutover.",1,IRV-TS1,One-Time
AFFG-015,Functional Testing & CloudBrink SD-WAN Validation,Phase 5: Testing Validation & Go-Live,"Execute functional test scripts for all firewall features from remote locations. Validate CloudBrink SD-WAN connectivity from remote endpoints - test VPN tunnel establishment, MFA authentication flow, throughput, and failover behavior. Test remote user access to AFFG internal resources through the SD-WAN tunnel. Verify traffic from remote users passes through firewall inspection. Document all test results with screenshots and evidence.",2,CHD-TS1,One-Time
