Ticket,Title,Phase,Description,Est Hours,Assigned To,Frequency
AFFG-004-001,Apple Business Manager (ABM) Setup & Intune Integration,Phase 1: Endpoint Foundation,"Configure Apple Business Manager tenant for AFFG and integrate with Microsoft Intune as the MDM provider. Add the Apple Push Notification certificate, configure ABM-Intune sync, and add the 4 Mac Mini and 6 MacBook serial numbers to the AFFG ABM fleet for automatic enrollment.",3,CHD-TS1,One-Time
AFFG-004-002,Intune macOS Compliance & Configuration Profiles (FDA + Screen Recording),Phase 1: Endpoint Foundation,"Define Intune device compliance policies for macOS (FileVault encryption, OS minimum version, password complexity, screen lock 15 min) and configuration profiles (FileVault silent enablement, MyAudit Privacy Preferences Policy Control profile granting Full Disk Access and Screen Recording, login window restrictions, OS update policy, system extensions allowlist for CrowdStrike + CloudBrink).",3,CHD-TS1,One-Time
AFFG-004-003,ABM Enrollment & Imaging – 4 Mac Mini,Phase 1: Endpoint Foundation,"Execute ABM-driven Setup Assistant on each of the 4 Mac Mini devices: factory reset, automatic Intune enrollment, FileVault silent encryption, deploy security stack and MyAudit per Phase 1 baseline. Validate compliance state in Intune for each device.",4,CHD-TS1,One-Time
AFFG-004-004,ABM Enrollment & Imaging – 6 MacBook,Phase 1: Endpoint Foundation,"Execute ABM-driven Setup Assistant on each of the 6 MacBook devices: factory reset, automatic Intune enrollment, FileVault silent encryption, deploy security stack and MyAudit per Phase 1 baseline. Validate compliance state in Intune for each device. Subject to AFFG hardware procurement and Apple delivery timeline.",4,CHD-TS1,One-Time
AFFG-004-005,Endpoint Security Stack Deployment (CrowdStrike, Huntress, PMMAC, MR) – 10 Endpoints,Phase 1: Endpoint Foundation,"Deploy the Technijian macOS endpoint security stack to all 10 Apple endpoints via Intune: CrowdStrike Falcon EDR, Huntress Managed Detection, ManageEngine Patch Management for macOS (PMMAC), and ConnectWise ScreenConnect (My Remote). Verify agent check-in for each product on every device. Test CrowdStrike with EICAR; confirm Huntress 24/7 monitoring is active.",4,CHD-TS1,One-Time
AFFG-004-006,CloudBrink ZTNA Agent Deployment – 10 Endpoints,Phase 1: Endpoint Foundation,"Deploy the CloudBrink ZTNA agent to all 10 Apple endpoints via Intune. Verify agent auto-start, silent authentication via Entra SSO, and posture check (Intune compliance + FileVault active) per session.",2,CHD-TS1,One-Time
AFFG-004-007,MyAudit UAM+DLP Deployment & Policy Configuration – 10 macOS Endpoints,Phase 1: Endpoint Foundation,"Install and configure the MyAudit UAM+DLP agent (Teramind macOS) on all 10 endpoints. Configure DLP policies: block USB/external storage, block clipboard copy to unmanaged apps, block local download of regulated data, block print-to-local, and block screen capture on protected windows. Verify 1-year UAM retention and audit-trail capture. Validate detection accuracy with test scenarios (USB block, clipboard, screenshot).",4,CHD-TS1,One-Time
AFFG-004-008,Conditional Access Policy Suite – Named Location + Compliant Device + MFA,Phase 2: Access Control,"Configure the Entra ID Conditional Access policy suite: Policy 1 — Office WAN IP named location plus Intune-compliant device requirement for M365 (Exchange, SharePoint, OneDrive, Teams). Policy 2 — Block legacy authentication (IMAP, POP3, SMTP AUTH, Exchange ActiveSync). Policy 3 — Require MFA for all sign-ins. Apply to all 31 M365 users.",4,IRV-TS1,One-Time
AFFG-004-009,CloudBrink ZTNA Tenant & Connector Provisioning,Phase 2: Access Control,"Provision the CloudBrink ZTNA tenant for AFFG and deploy the CloudBrink connector at the AFFG office. Configure identity provider integration with Entra ID for SSO. Define application resources: M365, Schwab Advisor Services, Interactive Brokers TWS / IBKR Web, internal file shares.",3,IRV-TS1,One-Time
AFFG-004-010,CloudBrink Access Policies & Per-App Micro-Segmentation,Phase 2: Access Control,"Configure CloudBrink per-application access policies and per-session device posture verification. Enable session logging (user, device, app, duration, source IP). Block lateral movement between applications.",3,CHD-TS1,One-Time
